question_id,question,correct_answer,true_type,group,plain_answer,plain_correct,plain_top1_date,naive_answer,naive_correct,naive_top1_date,ts_answer,ts_correct,ts_classifier_type,ts_p_dynamic,ts_top1_date,classifier_correct,oracle_answer,oracle_correct,oracle_top1_date
q001,What is the chemical formula of water?,H2O,STATIC,1,"The chemical formula of water is H2O. This is stated in multiple documents, including Document 1 and Document 2.",True,2026-07-12,"The chemical formula of water is H2O. This information is consistently stated across multiple documents, including Document 1 and Document 2.",True,2026-07-12,"The chemical formula of water is H2O. This is stated in multiple documents, including Document 1 and Document 2.",True,STATIC,0.0,2026-07-12,True,"The chemical formula of water is H2O. This is stated in multiple documents, including Document 1 and Document 2.",True,2026-07-12
q002,What is the Pythagorean theorem?,a squared plus b squared equals c squared,STATIC,1,"The Pythagorean theorem is a fundamental relation in Euclidean geometry between the three sides of a right triangle, stated as an equation relating the lengths of the sides a, b and the hypotenuse c: a^2 + b^2 = c^2. It states that the area of the square whose side is the hypotenuse is equal to the sum of the areas of the squares on the other two sides.",False,2026-06-29,"The Pythagorean theorem states that the area of the square whose side is the hypotenuse is equal to the sum of the areas of the squares on the other two sides, and can be written as an equation: a^2 + b^2 = c^2. This equation relates the lengths of the sides a, b, and the hypotenuse c of a right triangle.",False,2026-06-29,"The Pythagorean theorem is a fundamental relation in Euclidean geometry between the three sides of a right triangle, stated as an equation relating the lengths of the sides a, b and the hypotenuse c: a^2 + b^2 = c^2. It states that the area of the square whose side is the hypotenuse is equal to the sum of the areas of the squares on the other two sides.",False,STATIC,0.0,2026-06-29,True,"The Pythagorean theorem states that the area of the square whose side is the hypotenuse is equal to the sum of the areas of the squares on the other two sides, and can be written as an equation: a^2 + b^2 = c^2. This equation relates the lengths of the sides a, b, and the hypotenuse c of a right triangle.",False,2026-06-29
q003,What is the speed of light?,299792458,STATIC,1,The speed of light in vacuum is exactly equal to 299792458 m⋅s−1. This value is approximately 1 billion kilometres per hour or 700 million miles per hour.,True,2026-06-16,The speed of light in vacuum is exactly equal to 299792458 m⋅s−1. This value is approximately 1 billion kilometres per hour or 700 million miles per hour.,True,2026-06-16,The speed of light in vacuum is exactly equal to 299792458 m⋅s−1. This value is approximately 1 billion kilometres per hour or 700 million miles per hour.,True,STATIC,0.0,2026-06-16,True,The speed of light in vacuum is exactly equal to 299792458 m⋅s−1. This value is approximately 1 billion kilometres per hour or 700 million miles per hour.,True,2026-06-16
q004,What is the boiling point of water?,100,STATIC,1,"The boiling point of water is 100 °C (212 °F), although with scientific precision it is 99.97 °C (211.95 °F).",True,2026-07-01,"The boiling point of water is 100 °C (212 °F) at sea level. This temperature can vary depending on the surrounding environmental pressure, decreasing by 1 °C every 274 meters as atmospheric pressure decreases with altitude.",True,2026-07-01,"The boiling point of water is 100 °C (212 °F), although with scientific precision it is 99.97 °C (211.95 °F).",True,STATIC,0.0,2026-07-01,True,"The boiling point of water is 100 °C (212 °F), although with scientific precision it is 99.97 °C (211.95 °F).",True,2026-07-01
q005,What is the chemical symbol for gold?,Au,STATIC,1,Not found in provided documents.,False,2026-05-26,Not found in provided documents.,False,2026-05-26,Not found in provided documents.,False,STATIC,0.0,2026-05-26,True,Not found in provided documents.,False,2026-05-26
q006,What is the chemical symbol for oxygen?,O,STATIC,1,The chemical symbol for oxygen is O. Its atomic number is 8.,True,2026-05-28,The chemical symbol for oxygen is O. It is a member of the chalcogen group in the periodic table with an atomic number of 8.,True,2026-05-28,The chemical symbol for oxygen is O. It has an atomic number of 8.,True,STATIC,0.0,2026-05-28,True,"The chemical symbol for oxygen is O. Its atomic number is 8, as stated in the documents.",True,2026-05-28
q007,What is the atomic number of carbon?,6,STATIC,1,"The atomic number of carbon is 6. This is stated in Document 1, which describes carbon as a chemical element with the symbol C and atomic number 6.",True,2026-05-27,"The atomic number of carbon is 6. This is stated in Document 1, which describes carbon as a chemical element with symbol C and atomic number 6.",True,2026-05-27,"The atomic number of carbon is 6. This is stated in Document 1, which describes carbon as a chemical element with symbol C and atomic number 6.",True,STATIC,0.0,2026-05-27,True,"The atomic number of carbon is 6. This is stated in Document 1, which describes carbon as a chemical element with symbol C and atomic number 6.",True,2026-05-27
q008,What is Newton's first law of motion?,inertia,STATIC,1,"Newton's first law of motion expresses the principle of inertia, stating that a body remains at rest, or in motion at a constant speed in a straight line, unless it is acted upon by a force. The law can also be paraphrased as the natural behavior of a body is to move in a straight line at constant speed.",True,2026-05-11,"Newton's first law of motion states that a body remains at rest, or in motion at a constant speed in a straight line, unless it is acted upon by a force. This law is also known as the law of inertia.",True,2026-05-11,"Newton's first law of motion expresses the principle of inertia, stating that a body remains at rest, or in motion at a constant speed in a straight line, unless it is acted upon by a force. The law can also be described as the natural behavior of a body being to move in a straight line at constant speed.",True,STATIC,0.0,2026-05-11,True,"Newton's first law of motion expresses the principle of inertia, stating that a body remains at rest, or in motion at a constant speed in a straight line, unless it is acted upon by a force. The law can also be paraphrased as the natural behavior of a body is to move in a straight line at constant speed.",True,2026-05-11
q009,What is the value of pi?,3.14159,STATIC,1,"The value of pi is approximately 3.14159. It is an irrational number, meaning it cannot be expressed exactly as a ratio of two integers.",True,2026-06-25,"The value of pi is approximately equal to 3.14159. It is an irrational number, meaning that it cannot be expressed exactly as a ratio of two integers.",True,2026-06-25,"The value of pi is approximately equal to 3.14159. It is an irrational number, meaning that it cannot be expressed exactly as a ratio of two integers.",True,STATIC,0.0,2026-06-25,True,"The value of pi is approximately equal to 3.14159. It is an irrational number, meaning that it cannot be expressed exactly as a ratio of two integers.",True,2026-06-25
q010,What is the powerhouse of the cell?,mitochondria,STATIC,1,Not found in provided documents.,False,2026-07-09,Not found in provided documents.,False,2026-07-09,Not found in provided documents.,False,STATIC,0.0,2026-07-09,True,Not found in provided documents.,False,2026-07-09
q011,How many chromosomes does a human have?,46,STATIC,1,"A human has 46 chromosomes in total, consisting of 22 different types of autosomes and two sex chromosomes. This is made up of two homologous pairs of each autosome and the sex chromosomes, which are XX in females and XY in males.",True,2026-07-09,"A human has 46 chromosomes in total, consisting of 22 pairs of autosomes and two sex chromosomes. This is stated in Document 1, which mentions that humans have ""46 chromosomes in total"".",True,2026-07-09,"A human has 46 chromosomes in total, consisting of 22 pairs of autosomes and one pair of sex chromosomes. This is made up of 44 autosomes and 2 sex chromosomes.",True,STATIC,0.0,2026-07-09,True,"A human has 46 chromosomes in total, consisting of 22 pairs of autosomes and one pair of sex chromosomes. This is made up of 44 autosomes and 2 sex chromosomes.",True,2026-07-09
q012,What is the theory of evolution?,natural selection,STATIC,1,"The theory of evolution is the change in the heritable characteristics of biological populations over successive generations, occurring when evolutionary processes such as genetic drift and natural selection act on genetic variation. The scientific theory of evolution by natural selection explains how certain characteristics become more or less common within a population over successive generations.",True,2026-06-01,"The scientific theory of evolution by natural selection explains how evolutionary processes such as genetic drift and natural selection act on genetic variation, resulting in certain characteristics becoming more or less common within a population over successive generations. This theory has given rise to biodiversity at every level of biological organisation.",True,2026-06-01,"The theory of evolution is the change in the heritable characteristics of biological populations over successive generations, occurring when evolutionary processes such as genetic drift and natural selection act on genetic variation. The scientific theory of evolution by natural selection explains how certain characteristics become more or less common within a population over successive generations.",True,STATIC,0.0,2026-06-01,True,"The theory of evolution is the change in the heritable characteristics of biological populations over successive generations, occurring when evolutionary processes such as genetic drift and natural selection act on genetic variation. The scientific theory of evolution by natural selection explains how certain characteristics become more or less common within a population over successive generations.",True,2026-06-01
q013,What is photosynthesis?,chlorophyll,STATIC,1,"Photosynthesis is a system of biological processes by which photopigment-bearing autotrophic organisms convert light energy into the chemical energy necessary to fuel their metabolism. It typically refers to oxygenic photosynthesis, a process that releases oxygen as a byproduct of water splitting.",False,2026-06-11,"Photosynthesis is a system of biological processes by which photopigment-bearing autotrophic organisms convert light energy into the chemical energy necessary to fuel their metabolism. It usually refers to oxygenic photosynthesis, a process that releases oxygen as a byproduct of water splitting.",False,2026-06-11,"Photosynthesis is a system of biological processes by which photopigment-bearing autotrophic organisms convert light energy into the chemical energy necessary to fuel their metabolism. It typically refers to oxygenic photosynthesis, a process that releases oxygen as a byproduct of water splitting.",False,STATIC,0.0,2026-06-11,True,"Photosynthesis is a system of biological processes by which photopigment-bearing autotrophic organisms convert light energy into the chemical energy necessary to fuel their metabolism. It typically refers to oxygenic photosynthesis, a process that releases oxygen as a byproduct of water splitting.",False,2026-06-11
